e,b,h2,cah1,cah2,diss,v,w,j,d_i,theta,phi,eta,n_i,j_i,rho1x,rho1y,rho1z,rho2x,rho2y,rho2z,p1x,p1y,p1z,tf
40000.0,0.0,0,0,1,0,4.0,0.0004900429342644906,15.0,30.884992624715792,0.7798746240090365,0.8282410630014638,1.1565419653046416,1.0,0,-23.023659274738762,-25.086082118357663,44.822469532975134,-23.023659274738762,-25.086082118357663,44.822469532975134,-3.8015705017520145,-4.142109151620024,7.980332154391051,17214.469186669092
40000.0,0.0,1,0,0,0,2.0,0.3926366012646824,15.0,30.147531859152913,0.20156806483523282,2.065531565742317,6.057434896825658,1.0,0,-0.7031969291093064,1.3034571804811592,-0.11789614741645764,-0.7031969291093064,1.3034571804811592,-0.11789614741645764,-3.474474499982487,6.440342026432386,-11.196680193708772,12861.865981333423
40000.0,0.0,1,0,0,0,-0.0,1.4867195147343004e-05,3.0,30.05589322115972,0.8935081505354816,6.084854668960971,1.6646073468330922,1.0,0,2.1849346778217145,-0.4391121421912122,-1.2145864079383561,2.1849346778217145,-0.4391121421912122,-1.2145864079383561,-2.4594290507965213,0.4942780074959626,2.940374756656196,12107.578691940715
40000.0,0.0,0,1,0,0,9.0,0.31431776908175824,5.0,31.537451994251334,0.863581926726658,5.752774637184848,5.930032870947076,1.0,0,34.079647799069726,-19.986650077168363,-45.156521395964376,34.079647799069726,-19.986650077168363,-45.156521395964376,4.5415812877595,-2.663495718343207,-5.957702394101468,16629.145577899817
40000.0,0.0,1,0,0,0,3.0,3.700466562483129,6.0,32.84213373922234,1.2442965754490825,0.9490576173791554,6.2473929204155345,1.0,0,-0.6301307717197597,-0.879411177222272,1.9541236769313246,-0.6301307717197597,-0.879411177222272,1.9541236769313246,-0.11589047635910128,-0.16173687243627466,-5.456398301591159,11527.54517686326
40000.0,0.0,1,0,0,0,-0.0,1.4867195147343004e-05,4.0,32.588505084446325,0.9479515640724838,3.3221831886387645,3.5194548295811847,1.0,0,2.306238086943036,0.42107222128261496,0.958825559332747,2.306238086943036,0.42107222128261496,0.958825559332747,-4.033392808786761,-0.7364155847206343,0.17448415974427015,12438.302857531799
40000.0,0.0,0,1,0,0,12.0,1.8224047368334106e-05,13.0,30.995010774412478,0.7952951581394422,3.5224925718080478,4.137532552989739,1.0,0,-15.477916571921801,-6.198233529408975,-56.164210371411336,-15.477916571921801,-6.198233529408975,-56.164210371411336,2.861425418478924,1.1458766358060695,-0.5313821795859717,45252.94095764833
40000.0,0.0,1,0,0,0,4.0,7.837477653532346e-05,2.0,30.018374079054624,2.2405487744769506,3.4481510414548437,0.9185136321890804,1.0,0,-1.8601259270605357,-0.5887985207196276,-1.7250286755563609,-1.8601259270605357,-0.5887985207196276,-1.7250286755563609,0.6113137115214609,0.19350335576917063,-0.4888190913548322,11903.698504763897
40000.0,0.0,1,0,0,0,4.0,0.001234127179594767,17.0,32.58236947341812,2.4980248330596595,2.768614652188272,0.47851160441530366,1.0,0,1.3200290568729076,-0.5165183133558889,-0.42689674038786823,1.3200290568729076,-0.5165183133558889,-0.42689674038786823,-12.385404459526693,4.84632378988696,-8.204458166105823,18903.55734316928
40000.0,0.0,1,0,0,0,7.0,0.0015651838474327697,2.0,31.501877061464867,1.6136565110284702,4.145577602125502,0.49427851751867774,1.0,0,0.8146432374669442,1.2799214768753429,-0.9495562545103687,0.8146432374669442,1.2799214768753429,-0.9495562545103687,6.321199031496801,9.93151115471532,-5.835199790496489,14457.010531678443
40000.0,0.25,0,1,0,0,4.0,3.971064848305989,41.0,31.813636840051984,0.9681400140932124,2.3129493761621083,2.714017873126243,1.0,0,16.45805624445979,-3.1717481426752636,-57.61139122060526,16.45805624445979,-3.1717481426752636,-57.61139122060526,-0.8168521236480467,3.059475683457693,-7.217047418408991,23199.992823390574
40000.0,0.25,1,0,0,0,10.0,0.00013221548545970345,8.0,31.492455806141948,1.23056255679688,2.65697556467245,5.815772104404046,1.0,0,0.9015886496616868,-0.9561793771119576,2.1340552397293266,0.9015886496616868,-0.9561793771119576,2.1340552397293266,-1.6209420016268365,2.9636642683717347,-11.289450621540025,55514.74906304952
40000.0,0.25,1,0,0,0,-0.0,0.05786755288687026,20.0,30.846439483816322,2.9266763535346705,2.269441801781284,6.2374844768828765,1.0,0,1.3002365195551089,-0.16205375693217422,-1.14318394638412,1.3002365195551089,-0.16205375693217422,-1.14318394638412,-9.523591662429931,2.740505636204296,-6.759322877975023,12460.655172883868
40000.0,0.25,0,0,1,0,8.0,0.049678662753959414,12.0,31.97758329413582,1.758990947792754,2.468258916006633,0.18511815624562095,1.0,0,-0.8255029393634135,-14.063973595303107,58.32257874620875,-0.8255029393634135,-14.063973595303107,58.32257874620875,-2.878621916696293,0.2604767226824846,4.081134874484225,16415.837087736792
40000.0,0.25,0,0,1,0,5.0,0.007570170589988543,22.0,31.136115809732512,2.4614594596812265,1.5557968422710013,0.919716302741881,1.0,0,0.9117679172188992,44.365660931791524,40.38386818211498,0.9117679172188992,44.365660931791524,40.38386818211498,0.13395466296177358,7.841065907658944,6.076372020376532,14005.850514659576
